ID,type,train_size,test_size,C,kernel,val_acc,acc,correct,exp
1,cat,2000,200,10,rbf,23.44%,12.01%,1009,./exp/SVM\SVM_cat_rbf_C10.0_2000+200_2022_1224_1630_06
2,avg,2000,200,11,rbf,17.19%,9.86%,828,./exp/SVM\SVM_avg_rbf_C11.0_2000+200_2022_1224_1707_28
3,avg,2000,200,1,rbf,9.62%,7.21%,606,./exp/SVM\SVM_avg_rbf_C1.0_2000+200_2022_1224_1726_32
4,avg,2000,200,3,rbf,12.41%,8.25%,693,./exp/SVM\SVM_avg_rbf_C3.0_2000+200_2022_1224_1812_14
5,avg,2000,200,5,rbf,14.04%,8.83%,742,./exp/SVM\SVM_avg_rbf_C5.0_2000+200_2022_1224_1842_30
6,avg,2000,200,7,rbf,15.37%,9.39%,789,./exp/SVM\SVM_avg_rbf_C7.0_2000+200_2022_1224_1942_55
7,avg,2000,200,9,rbf,16.29%,9.55%,802,./exp/SVM\SVM_avg_rbf_C9.0_2000+200_2022_1224_2004_23
8,avg,2000,200,11,rbf,17.19%,9.86%,828,./exp/SVM\SVM_avg_rbf_C11.0_2000+200_2022_1224_2051_47
9,avg,2000,200,13,rbf,17.94%,10.30%,865,./exp/SVM\SVM_avg_rbf_C13.0_2000+200_2022_1224_2123_29
10,avg,2000,200,15,rbf,18.69%,10.07%,846,./exp/SVM\SVM_avg_rbf_C15.0_2000+200_2022_1224_2155_54
11,avg,2000,200,14,rbf,18.35%,10.24%,860,./exp/SVM\SVM_avg_rbf_C14.0_2000+200_2022_1224_2236_07
12,avg,2000,200,12,rbf,17.56%,10.11%,849,./exp/SVM\SVM_avg_rbf_C12.0_2000+200_2022_1224_2305_47
13,avg,20,10,13,linear,28.21%,4.76%,20,./exp/SVM\SVM_avg_linear_C13.0_20+10_2022_1225_0813_16
14,avg,20,10,13,poly,60.00%,5.48%,23,./exp/SVM\SVM_avg_poly_C13.0_20+10_2022_1225_0825_16
15,avg,2000,200,13,poly,12.29%,8.54%,717,./exp/SVM\SVM_avg_poly_C13.0_2000+200_2022_1225_0825_44
16,avg,20,10,13,sigmoid,2.50%,2.38%,10,./exp/SVM\SVM_avg_sigmoid_C13.0_20+10_2022_1225_0859_15
17,cat,2000,200,13,rbf,25.39%,12.77%,1073,./exp/SVM\SVM_cat_rbf_C13.0_2000+200_2022_1225_1007_46
18,avg,20,10,13,rbf,60.60%,4.76%,20,./exp/SVM\SVM_avg_rbf_C13.0_20+10_2022_1225_1050_27
19,avg,1000,100,13,sigmoid,2.63%,2.81%,118,./exp/SVM\SVM_avg_sigmoid_C13.0_1000+100_2022_1225_1100_07
20,avg,2000,200,13,sigmoid,2.42%,2.38%,200,./exp/SVM\SVM_avg_sigmoid_C13.0_2000+200_2022_1225_1107_39
22,avg,2000,200,12,rbf,17.56%,10.11%,849,./exp/SVM\SVM_avg_rbf_C12.0_2000+200_2022_1226_2342_16
